"","year","length"
"1",1971,121
"2",1939,71
"3",1941,7
"4",1996,70
"5",1975,71
"6",2000,91
"7",2002,93
"8",2002,25
"9",1987,97
"10",1917,61
"11",1988,99
"12",1994,96
"13",1906,10
"14",1965,10
"15",1983,106
"16",1987,101
"17",1980,107
"18",1968,10
"19",1988,110
"20",1981,7
"21",1995,90
"22",1935,85
"23",1974,88
"24",1988,95
"25",1921,18
"26",1979,80
"27",1935,6
"28",1989,86
"29",1945,92
"30",1995,7
"31",1985,105
"32",1987,140
"33",1996,99
"34",1997,19
"35",1966,74
"36",1991,117
"37",1942,61
"38",1946,41
"39",1934,52
"40",1986,96
"41",1989,90
"42",1941,120
"43",2001,83
"44",1986,133
"45",1975,90
"46",1951,15
"47",1907,15
"48",1997,113
"49",1940,99
"50",1940,9
"51",1989,101
"52",2002,13
"53",2002,82
"54",1996,118
"55",2001,80
"56",2004,87
"57",2002,92
"58",1987,106
"59",1987,7
"60",1959,96
"61",1932,77
"62",1967,95
"63",1981,113
"64",1990,84
"65",1979,119
"66",1973,93
"67",1935,104
"68",1977,109
"69",1998,106
"70",1997,8
"71",1978,10
"72",2000,5
"73",1980,96
"74",1990,88
"75",1999,92
"76",2004,22
"77",1975,90
"78",1984,82
"79",2005,95
"80",1996,88
"81",1974,15
"82",1971,96
"83",1968,100
"84",1976,98
"85",1968,105
"86",1970,100
"87",1958,94
"88",2000,95
"89",1957,97
"90",2001,14
"91",2002,96
"92",1994,90
"93",1964,83
"94",1965,90
"95",1994,87
"96",2004,117
"97",1966,101
"98",1954,95
"99",1955,96
"100",1955,110
"101",2002,155
"102",1979,85
"103",1935,70
"104",2003,72
"105",1960,125
"106",1952,105
"107",1986,48
"108",1979,122
"109",1977,84
"110",1971,111
"111",1998,10
"112",1999,97
"113",1982,95
"114",1973,92
"115",2004,240
"116",2004,88
"117",2003,6
"118",1983,101
"119",1967,100
"120",1997,28
"121",1991,161
"122",2001,100
"123",2000,90
"124",2002,98
"125",2001,88
"126",1997,94
"127",1969,110
"128",1994,9
"129",2004,100
"130",1995,101
"131",1971,92
"132",1994,95
"133",1963,79
"134",1997,18
"135",1959,75
"136",1986,79
"137",1998,23
"138",1990,98
"139",1989,117
"140",1996,103
"141",2000,78
"142",2000,100
"143",2001,103
"144",1993,112
"145",2000,100
"146",2000,14
"147",1966,85
"148",2004,105
"149",1974,94
"150",2000,11
"151",2004,85
"152",2002,134
"153",2004,95
"154",2003,95
"155",1969,94
"156",1957,96
"157",2001,150
"158",1998,86
"159",2003,4
"160",1999,18
"161",2001,89
"162",1956,55
"163",1971,161
"164",1960,74
"165",1997,60
"166",1959,85
"167",1990,25
"168",2002,92
"169",2003,85
"170",1960,69
"171",1963,89
"172",1960,85
"173",2004,98
"174",2004,135
"175",2002,93
"176",1947,95
"177",1962,80
"178",2003,122
"179",1982,110
"180",1987,89
"181",1988,88
"182",2003,58
"183",1951,85
"184",1937,70
"185",2000,85
"186",1999,102
"187",1952,7
"188",2003,52
"189",1985,83
"190",1973,105
"191",1998,27
"192",1992,154
"193",1998,88
"194",2003,90
"195",1998,92
"196",1999,25
"197",2001,120
"198",2000,20
"199",2000,120
"200",2003,74
"201",1985,145
"202",2002,158
"203",1948,82
"204",1967,6
"205",1995,86
"206",1998,1
"207",1998,107
"208",1989,75
"209",2001,95
"210",1972,180
"211",1974,150
"212",2004,23
"213",1988,93
"214",1999,87
"215",1977,89
"216",1991,98
"217",2004,100
"218",1934,80
"219",1990,100
"220",1997,58
"221",1995,30
"222",2000,82
"223",2002,77
"224",1971,73
"225",1976,245
"226",1985,94
"227",1985,99
"228",1997,8
"229",1925,32
"230",1989,193
"231",1941,7
"232",1979,146
"233",1993,157
"234",1989,80
"235",1955,18
"236",1980,96
"237",1988,95
"238",2000,8
"239",1974,90
"240",1956,90
"241",1982,89
"242",1992,99
"243",1998,80
"244",1998,92
"245",1988,90
"246",1999,86
"247",1905,1
"248",2002,76
"249",1996,104
"250",1997,90
"251",2003,107
"252",2000,97
"253",1999,87
"254",1966,90
"255",1968,95
"256",2001,8
"257",1997,12
"258",1967,90
"259",2003,96
"260",1998,100
"261",2004,28
"262",1965,89
"263",1944,97
"264",2000,25
"265",1998,87
"266",2004,74
"267",1957,82
"268",1940,84
"269",1933,20
"270",1916,105
"271",1932,78
"272",1997,93
"273",1955,97
"274",1999,20
"275",2003,84
"276",1999,101
"277",1971,98
"278",2000,70
"279",1969,80
"280",1954,127
"281",1999,99
"282",1968,156
"283",2000,99
"284",1994,90
"285",2002,136
"286",1964,96
"287",1984,116
"288",1984,18
"289",1983,91
"290",1980,185
"291",2004,129
"292",1969,75
"293",1984,10
"294",2004,113
"295",2003,101
"296",2000,105
"297",2003,124
"298",1964,10
"299",1997,100
"300",1996,285
"301",1979,121
"302",1998,100
"303",1930,10
"304",1956,103
"305",2000,12
"306",1993,84
"307",2002,188
"308",2002,91
"309",1997,96
"310",2002,117
"311",1999,93
"312",1931,66
"313",2000,90
"314",1999,97
"315",2000,86
"316",2002,107
"317",1977,114
"318",1969,95
"319",1999,8
"320",2001,11
"321",2000,6
"322",2004,92
"323",2002,90
"324",2001,92
"325",1989,5
"326",2002,135
"327",1996,17
"328",1974,118
"329",2000,98
"330",1986,81
"331",1974,86
"332",1957,75
"333",2000,103
"334",2002,113
"335",1967,90
"336",1971,90
"337",2002,93
"338",1991,101
"339",2004,88
"340",2002,70
"341",1998,90
"342",2002,104
"343",1971,86
"344",1976,72
"345",2001,88
"346",2003,22
"347",1926,122
"348",2000,88
"349",2002,98
"350",1937,17
"351",2003,63
"352",1948,106
"353",1990,100
"354",1990,104
"355",2000,3
"356",1998,11
"357",1992,98
"358",1994,93
"359",1995,85
"360",1998,93
"361",1964,78
"362",1954,103
"363",1968,6
"364",2000,82
"365",2000,21
"366",2002,51
"367",1977,124
"368",1960,100
"369",1973,81
"370",1985,106
"371",2001,105
"372",1990,96
"373",2004,88
"374",1999,87
"375",1959,75
"376",2000,73
"377",1968,85
"378",1965,95
"379",1963,85
"380",2001,110
"381",2000,105
"382",1977,68
"383",1998,91
"384",1962,114
"385",2001,125
"386",1995,100
"387",1995,116
"388",2003,27
"389",1965,86
"390",1969,95
"391",1981,83
"392",1995,27
"393",1997,99
"394",1981,122
"395",1980,92
"396",1953,80
"397",1965,115
"398",1988,88
"399",1969,93
"400",1934,77
"401",2000,83
"402",2005,101
"403",2005,70
"404",1935,86
"405",1959,93
"406",1957,92
"407",1986,86
"408",2005,21
"409",2000,24
"410",2003,5
"411",1931,112
"412",1960,79
"413",2004,126
"414",1964,16
"415",1970,97
"416",1928,97
"417",2003,76
"418",2003,123
"419",1997,102
"420",2000,15
"421",1998,26
"422",1999,15
"423",1987,99
"424",1963,124
"425",1995,8
"426",1974,90
"427",1971,104
"428",1999,97
"429",1965,105
"430",2002,12
"431",1973,110
"432",2002,96
"433",1982,143
"434",1967,95
"435",1962,106
"436",1986,80
"437",1976,100
"438",1967,90
"439",1941,100
"440",1939,52
"441",2000,11
"442",2004,116
"443",2000,90
"444",1933,89
"445",1933,6
"446",1974,83
"447",1950,95
"448",1982,96
"449",1967,81
"450",1964,88
"451",1953,73
"452",1941,104
"453",1959,85
"454",1999,90
"455",2002,97
"456",1955,84
"457",1960,118
"458",1968,105
"459",2002,96
"460",1996,94
"461",1996,96
"462",1952,108
"463",1938,85
"464",1957,81
"465",1970,90
"466",1968,85
"467",1974,95
"468",1970,90
"469",1969,81
"470",1965,85
"471",1953,89
"472",2004,99
"473",2004,95
"474",1963,75
"475",1982,87
"476",2005,106
"477",2001,92
"478",2000,41
"479",1985,95
"480",2001,92
"481",1986,110
"482",1937,80
"483",1998,100
"484",1963,150
"485",1993,130
"486",1939,83
"487",2005,75
"488",2004,90
"489",1934,69
"490",1999,22
"491",2004,85
"492",2001,100
"493",1958,85
"494",1939,62
"495",1964,103
"496",1981,11
"497",1936,89
"498",1982,43
"499",1996,100
"500",2001,90
"501",1968,5
"502",1969,98
"503",1985,90
"504",1999,11
"505",2000,123
"506",2002,94
"507",1964,100
"508",1989,90
"509",1983,85
"510",1941,4
"511",1966,87
"512",2003,90
"513",2004,95
"514",2003,97
"515",1971,98
"516",1994,90
"517",2002,110
"518",1985,96
"519",1994,95
"520",1950,102
"521",1972,93
"522",2003,15
"523",2004,100
"524",2000,17
"525",2000,85
"526",1985,4
"527",1969,25
"528",1956,75
"529",1964,123
"530",2003,72
"531",1958,88
"532",1950,7
"533",1997,94
"534",2002,110
"535",1986,115
"536",1994,105
"537",2002,111
"538",1981,77
"539",1993,84
"540",1969,107
"541",2003,9
"542",1963,113
"543",1979,82
"544",1994,110
"545",2002,124
"546",1987,100
"547",1989,95
"548",2003,119
"549",1994,12
"550",1999,123
"551",1997,7
"552",2002,100
"553",2004,71
"554",2003,120
"555",1961,120
"556",1977,101
"557",1964,3
"558",2005,14
"559",1956,6
"560",1985,100
"561",2001,75
"562",2001,72
"563",1990,29
"564",1959,90
"565",1951,88
"566",1977,101
"567",1992,100
"568",1975,93
"569",1998,90
"570",1991,93
"571",1997,90
"572",1989,100
"573",1991,93
"574",1997,42
"575",2002,79
"576",1953,83
"577",1998,13
"578",1969,108
"579",1997,106
"580",1967,104
"581",2002,103
"582",2004,13
"583",2000,10
"584",1998,136
"585",2002,60
"586",1996,17
"587",2004,104
"588",1965,84
"589",1991,144
"590",1980,90
"591",1991,94
"592",1932,8
"593",1953,14
"594",1989,161
"595",1961,104
"596",2002,98
"597",1967,99
"598",1997,92
"599",1969,88
"600",1961,102
"601",1986,115
"602",2000,87
"603",1999,90
"604",1980,90
"605",1998,98
"606",1975,100
"607",2002,96
"608",2000,89
"609",1988,93
"610",1996,94
"611",1997,95
"612",1963,86
"613",1996,87
"614",1984,102
"615",1977,104
"616",1972,188
"617",2002,90
"618",1997,90
"619",1939,17
"620",1942,68
"621",1966,6
"622",1938,8
"623",1948,7
"624",1966,6
"625",1990,114
"626",2003,115
"627",1966,82
"628",1988,98
"629",1985,71
"630",2002,90
"631",1995,65
"632",2003,13
"633",1994,98
"634",1988,80
"635",1918,5
"636",1970,85
"637",2004,86
"638",2001,131
"639",1977,96
"640",2001,83
"641",1978,85
"642",2001,5
"643",1975,20
"644",1999,105
"645",1980,95
"646",1998,60
"647",2002,123
"648",2004,102
"649",1999,178
"650",1973,148
"651",1993,155
"652",1989,75
"653",1968,175
"654",1948,138
